STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,AGE,,SEX,,STATISTICAL_OPERATION,,TIME_PERIOD,,OBS_VALUE,,HSPA,,METHODOLOGY,,TIME_RANGE,,DECIMALS,,OBS_STATUS,,OBS_STATUS2,,OBS_STATUS3,,UNIT_MULT,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,AUT,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2015,,275,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,AUT,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2016,,268.1,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,AUT,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2017,,254.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,AUT,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2018,,246.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,AUT,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2019,,247.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,AUT,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2020,,207,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,AUT,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2021,,219.7,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,AUT,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2022,,193,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,AUT,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2023,,175.7,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,CAN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2015,,179.7,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
