STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,LABOUR_FORCE_STATUS,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y15T19,,POP,,2020,,6.37143144475004,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y15T19,,POP,,2021,,6.38256341549466,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y15T19,,POP,,2022,,6.42512756940895,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y20T24,,POP,,2020,,6.86217088135934,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y20T24,,POP,,2021,,6.85079334764448,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y20T24,,POP,,2022,,6.8368909357717,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y60T64,,POP,,2020,,7.40207459761817,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y60T64,,POP,,2021,,7.4692493316091,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y60T64,,POP,,2022,,7.56477053387749,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y25T29,,POP,,2020,,7.44451227943607,,A,,,,1,
